id	document	label
972413911	이베스트투자증권은 26일 NHN(181710)에 대해 지난해 4분기 실적이 시장 기대치에 미치지 못할 것으로 평가했다. 게임과 페이코 등의 모멘텀이 공백기인 것을 고려하면 커머스와 클라우드 등에서 모멘텀이 필요한 시점이라는 분석에 투자의견 ‘매수’는 유지했지만 목표주가는 기존보다 7%(7000원) 낮은 9만3000원으로 하향했다.\n\n이베스트투자증권이 추정한 지난해 4분기 NHN의 매출액은 4534억원, 영업이익은 235억원이다. 전년 동기 대비 각각 13.3%, 34.3%씩 늘어날 것이라는 예상이다. 다만 이는 시장 기대치인 매출액 3443억원, 영업이익 316억원을 각각 0.4%, 25.7%씩 밑돈 수치다.  \n\n기대치를 충족하지 못한 실적의 원인은 게임 부문의 부진과 더불어 늘어난 인건비, 마케팅비 등 영업 비용이 원인으로 지목됐다. 성종화 이베스트투자증권 연구원은 “지난해 4분기 출시한 신작들의 성과가 미미했다”며 “비게임 부문은 성수기 효과가 있었지만 인건비와 마케팅비, 지급수수료가 늘어나면서 비용이 늘어나 매출 증가세를 초과했다”고 분석했다.\n\n이에 반등을 위해서는 커머스와 클라우드 등 모멘텀이 필요할 것으로 여겨졌다. 성 연구원은 “기대했던 보드게임 규제 완화 효과가 예상보다 덜했고, 지난해 론칭한 ‘용비불패M’, ‘한게임 승부예측’ 등의 성과가 부진해 전반적으로 게임 부문의 모멘텀이 약화됐다”고 말했다. \n\n이어 페이 부문에 대해서도 “카카오페이와 네이버페이와 달리 플랫폼 경쟁력이 떨어지는 만큼 온라인 결제 부문에서 성장이 더딘데다가 오프라인 결제 역시 코로나19의 영향으로 인해 ‘언택트’ 관련 모멘텀이 형성되지 못했다”고 덧붙였다. \n\n성 연구원은 “게임과 페이코 외 커머스, 클라우드에서 성장의 기회를 찾아야 한다”며 “특히 커머스의 경우 미국과 중국에서 고성장을 주목할 필요가 있으며, 클라우드 역시 NAVER(035420), KT(030200)와 더불어 3대 클라우드 업체로서 공공부문을 중심으로 한 성장을 보여주고 있다”고 평가했다.	0
460021670	상지카일룸(042940)이 관계회사 에이스바이오메드가 식품의약품안전처로부터 신종 코로나 바이러스 감염증(코로나19) 항체진단키트인 ‘COVID-19 IgM/IgG Rapid Kit’의 수출 허가를 획득했다는 소식에 ‘강세’다.\n\n31일 마켓포인트에 따르면 오후 2시 49분 기준 상지카일룸 주가는 전 거래일 대비 5.43%(75원) 오른 1455원에 거래 중이다.\n\n에이스바이오메드는 세계적 수준의 프로테오믹스, 유전체학, 유용물질 분리·정제 분야 원천기술을 보유하고 있으며 이 기술을 기반으로 면역진단시약과 감염성 질환 분자진단 시약을 개발 생산하는 생명공학전문 비상장 기업이다.\n\n회사 관계자는 “최근 코로나19 바이러스가 전 세계적으로 재확산되고 있으며, 국내의 경우에도 정부가 수도권 사회적 거리두기를 2.5단계로 격상하는 등 긴장감이 다시금 고조되고 있다”며 “현 상황에서 회사는 항원진단키트의 조기개발을 통해 코로나19 진단키트 라인업을 강화하고 전 세계 코로나19 진단키트 수요에 유동적으로 대응하기 위해 최선을 다하고 있다”고 말했다.\n\n한편 상지카일룸은 에이스바이오메드의 지분 39.42%(615만4063주)를 보유하고 있다.	1
946378962	"""LG디스플레이가 최근 3조3000억원 규모의 증설을 발표하면서 한송네오텍도 추가 수주가 계속 이뤄질 것으로 기대하고 있습니다.""  \n최영묵 한송네오텍 대표(  )는 1일 파이낸셜뉴스와 진행한 인터뷰에서 이같이 밝혔다.  \n  \n한송네오텍은 WOLED 대면적 TV 마스크 인장 기술을 확보한 코스닥 기업이다. 2012년 ‘화이트 OLED TV 제작 공정 중의 화이트 OLED 패널 제작을 위한 유기증착 및 봉지용 마스크프에임어셈블리, 그 제조방법 및 제조장치’ 대면적 관련 특허를 취득한 바 있다. 인장기 업체 중 유일하게 대면적 장비를 공급한 업체다. 향후 디스플레이 업체들의 WOLED 라인 증설 시 경쟁사 중 가장 큰 수혜가 예상된다.  \n  \n한송네오텍은 LG디스플레이와 지난 5월 73억원, 8월 2일 약 62억원, 26일 10억원의 OLED 장비 공급 계약을 체결한 바 있다. 올해 약 146억원의 OLED 장비 공급계약을 체결했다.  \n  \n최 대표는 “EDO, 티안마 등 중화권 업체들의 스마트폰 OLED 채택율 증가와 노트북, 태블릿의 OLED 탑재가 시작되고 있다”면서 “하반기부터 중화권 OLED 투자가 재개되면 중화권 1위 업체 BOE도 12라인 3차라인 증설을 시작할 것으로 예상돼 추가 수주가 기대된다”고 말했다.  \n  \n한송네오텍의 경쟁력은 우수한 기술력과 신속한 고객사 대응이다. 이 회사의 FMM(파인 메탈 마스크) 인장기는 OLED 수율에 큰 영향을 미치는 핵심장비다. OLED 제조 중 핵심 공정인 유기물 증착 부분에서 마스크를 평평하게 당기고, 프레임에 용접·부착하는 장비라 고도의 기술력이 요구된다.  \n  \n최 대표는 “OLED 인장기를 세계 최초로 개발했으며, 지난 26년간 장비를 개발, 납품해오면서 국내·외 디스플레이 업체로부터 기술력을 인정받고 있다”면서 “인장기 제조의 핵심인 마스크 해석과 설계능력을 보유하고 있고 알고리즘 및 소프트웨어를 담당하는 제어기술, 비전기술을 바탕으로 고객이 원하는 사양에 맞춰 다양한 제품을 생산할 수 있다”고 강조했다.  \n  \n최근에는 2차전지 소재사업, 장비사업도 진행 중이다. 장비 사업은 OLED 마스크 패턴 검사기 개발 노하우를 바탕으로 이차전지의 외관 불량 여부를 딥 러닝 기술을 적용해 검사하는 사업이다.  \n  \n최 대표는 “2020년 LG에너지솔루션 협력 업체등록을 완료해 시제품을 일부 납품했고, 연내 양산 장비 수주를 기대하고 있다”면서 “2020년 7월 21일 산업통상자원부로부터 사업재편계획 승인을 받아 향후 자금 지원 및 도움을 받을 것으로 예상한다”고 말했다.  \n  \n소재 사업은 최근 2차전지의 리드탭을 제조하는 신화아이티의 경영권 인수를 통해 진행 중이다. 리드탭은 2차전지 소재로 양극과 음극에 연결해 외부로 전기를 입·출력하는 전극 단자다.  \n  \n그는 “자체 제작한 설비를 통해 전기차와 에너지저장시스템(ESS)용 대형 리드탭과 휴대폰과 노트북에 들어가는 소형 리드탭 등을 생산하고 있다”면서 “현재 고성능 리드탭 수요는 크지 않지만 핵심 고객사가 현재 2차전지 완제품 생산 공장을 국내에 증설 중이라 수요는 커질 것”이라고 전했다.  \n  \n신화아이티는 현재 국내 대기업이 2곳이 투자한 미국 차세대 리튬메탈배터리 제조사에 고성능 리드탭을 소량 납품 중이다. 향후 리튬메탈배터리 제조가 증가하면 당사에게 큰 사업 기회가 될 것으로 예상된다."	1
707887791	유전체 분석 기업 지니너스가 코스닥 상장 첫날 약세다. \n\n지니너스는 8일 오전 9시20분 현재 시초가 대비 13.33%(2400원) 내린 1만5600원에 거래되고 있다. 장중 최저 1만5400원까지 빠졌다. 시초가는 공모가(2만원) 대비 10% 하락한 1만8000원으로 결정됐다.	0
48231056	레드캡투어(038390)는 3분기 매출액과 영업이익이 각각 569억1700만원, 65억6200만원으로 전년동기보다 8.1%, 4.8% 감소했다고 22일 밝혔다.	0
1028204051	OLED 증착장비 전문기업 선익시스템은 전력시스템 및 전력 엔지니어링 솔루션 전문업체 우진기전 인수에 동아엘텍의 컨소시엄으로 참여, 동아엘텍-선익시스템이 우선협상대상자로 선정됐다고 25일 밝혔다.  \n\n우진기전은 꾸준한 현금창출력을 보유한 전력 산업 전반의 시스템 및 부품 솔루션 전문엔지니어링 기업이다. 향후 전기차, ESS등의 관련 산업은 물론, 5G, 자율주행, 사물인터넷(IoT)에 필요한 통신인프라, 신 재생 에너지 등 안정된 전력관리가 필요한 산업분야에 토탈 전력솔루션을 제공할 수 있어 그 가치를 인정받아 왔다. \n\n그동안 여러 사모펀드 및 전략적 투자자들의 관심을 끌어왔고 선익시스템 역시 펀더멘털 향상과 시너지 발휘 등을 위해 다양한 준비과정을 거친 끝에 우선협상대상자로 선정되는 성과를 이뤄냈다.\n\n선익시스템은 OLED 증착장비 업계에서 국내 유일의 기술력을 가진 전문업체다. 1990년 설립돼 꾸준히 기술개발에 매진해 2016년 LG디스플레이에 FMM OLED용 양산설비를 납품한 바 있고, 최근에는 글로벌 업체와의 경쟁을 통해 BOE로부터 AR/VR에 채용이 기대되는 Micro OLED용 증착장비를 수주 받아 기술력을 인정받고 있다.	1
1160577265	LG화학이 배터리 사업의 물적분할 소식에 이틀째 하락하고 있다.  \n  \n17일 오전 9시 25분 현재 LG화학은 전일대비 2.49%(1만7000원) 내린 67만원에 거래되고 있다. 전날에도 LG화학은 5.37%(3만9000원) 급락한 68만7000원을 기록했다.  \n  \n물적분할로 주주가치를 훼손할 수 있다는 우려감에 따른 것이다.  \n  \nLG화학은 이날 긴급 이사회를 열어 전지사업부(전기차 배터리 사업) 분사를 안건으로 상정해 승인할 예정이다. 업계에선 전지사업부를 LG화학의 100% 자회사로 두는 물적분할이 유력할 것이라고 전망한다.	0
1662850239	에코플라스틱(038110)은 지난해 영업이익이 전년 대비 61.6% 감소한 42억원을 기록했다고 17일 공시했다. 같은 기간 매출액은 6.2% 늘어난 1조2918억원으로 집계됐다.\n\n회사 측은 “산업 내 경쟁 심화, 코로나19로 인한 고정비 부담 등으로 영업이익이 감소했다”고 설명했다.	0
1267902032	농심이 올해 1분기 국내 시장에서 면과 스낵, 음료사업 매출 감소로 지난해보다 영업이익이 약 54% 감소했다.\n\n농심은 1분기 매출 6344억원 영업이익은 283억원을 기록했다고 17일 밝혔다. 분기 순이익은 290억원으로 집계 됐다.\n\n매출은 전년 대비 533억원 감소했다. 매출 감소에 따른 고정비 부담 증가로 영업이익 감소 폭은 더 컸다. 영업이익은 전년 대비 353억원(54%) 줄었다.  \n\n국내 법인 매출은 전년 대비 8% 하락한 5614억원을 기록했다. 전체 매출의 절반 이상을 담당하는 면류 사업의 매출이 감소 폭이 컸다. 면류는 전년 대비 15.4% 매출이 감소했다. 스낵 사업 매출은 지난해 보다 6.6% 줄었으며, 생수 판매가 감소하며 음료 사업은 2.3% 매출이 감소했다.\n\n해외 법인  전체 매출은 0.3% 감소했다. 중국 시장은 대형매장 매출이 감소하며 전체 매출이 4.9% 줄었다. 일본은 신라면을 중심으로 한 봉지면 수요가 증가, 너구리 브랜드 라인업 확대로 매출이 17.1% 크게 성장했다. 미국 시장은 0.8% 소폭 감소했으며, 캐나다 시장 매출은 10.7% 성장했다.	0
1671757087	NHN벅스(104200)는 지난 1분기 영업손실 6000만원을 기록, 전년 동기 대비 적자로 전환했다고 13일 공시했다. 같은 기간 매출액은 10.6% 감소한 154억원이었다.	0
